,icoPriceUsd,currentStage,goalUsd,total_supply,is_active,price,exchangeName,n_contracts,isbnb,tags_reduce,iseth,issol,ismatic,isada,isavax,lifeday,dayscreated
428,0.012,1,30000.0,2000000000.0,1,3.700343182427949e-06,10,1.0,1,8,0,0,0,0,0,628,628
429,0.08,1,400000.0,160000000.0,0,0.0071203441466219115,10,1.0,1,10,0,0,0,0,0,120,621
430,0.05,1,400000.0,160000000.0,0,0.0071203441466219115,10,1.0,1,10,0,0,0,0,0,120,621
431,0.012,1,70000.0,2000000000.0,1,3.700343182427949e-06,5,1.0,1,8,0,0,0,0,0,628,628
432,0.012,1,50000.0,30000000.0,0,0.00024299849661911526,10,1.0,1,10,0,0,0,0,0,650,698
433,0.16,2,300000000.0,185337308.14654544,1,0.18269403153609984,1,1.0,0,6,1,0,0,0,0,613,613
434,0.00729,1,100000.0,1e+17,0,0.0,10,1.0,0,10,0,0,0,0,0,643,643
435,0.00729,1,80000.0,1e+17,0,0.0,10,1.0,0,10,0,0,0,0,0,643,643
436,0.012,1,50000.0,30000000.0,0,0.00024299849661911526,10,1.0,1,10,0,0,0,0,0,650,698
437,0.012,1,100000.0,2000000000.0,1,3.700343182427949e-06,10,1.0,1,8,0,0,0,0,0,628,628
438,0.012,1,75000.0,30000000.0,0,0.00024299849661911526,10,1.0,1,10,0,0,0,0,0,650,698
439,0.012,1,75000.0,30000000.0,0,0.00024299849661911526,10,1.0,1,10,0,0,0,0,0,650,698
440,0.012,1,60000.0,30000000.0,0,0.00024299849661911526,10,1.0,1,10,0,0,0,0,0,650,698
441,0.1,1,50000.0,200000000.0,0,0.00014762655127735963,10,2.0,1,6,0,1,0,0,0,586,636
442,0.015,1,150000.0,700000000.0,0,0.0002028277834818127,13,1.0,1,10,0,0,0,0,0,512,675
443,0.1,1,475000.0,200000000.0,0,0.00014762655127735963,10,2.0,1,6,0,1,0,0,0,586,636
444,0.009,5,300000000.0,1e+17,0,0.0,10,1.0,0,10,0,0,0,0,0,618,618
445,0.1,1,275000.0,200000000.0,0,0.00014762655127735963,10,2.0,1,6,0,1,0,0,0,586,636
446,0.1,1,300000.0,100000000.0,1,0.011318800576016025,10,1.0,0,10,0,1,0,0,0,626,626
447,0.164,1,8200000.0,1000000000.0,1,0.025696857240128407,10,1.0,0,10,1,0,0,0,0,906,906
448,0.2,1,300000.0,200000000.0,0,0.0005797652899245413,10,1.0,1,10,0,0,0,0,0,119,614
449,0.02,1,500000.0,900000000.0,1,0.00024936716671363374,11,1.0,0,6,1,0,0,0,0,641,641
450,0.22,1,50000.0,1e+17,1,0.002190515549195893,10,1.0,0,6,0,0,1,0,0,622,622
451,0.0015,1,300000000.0,15000000000.0,1,1.7317612251976043e-05,10,1.0,0,10,0,0,0,0,1,626,626
452,0.5,1,2000000.0,150000000.0,1,0.004811132324946231,11,1.0,0,10,0,0,1,0,0,646,646
453,0.03,1,200000.0,1e+17,1,6.880145574534029e-05,12,1.0,0,6,0,0,0,0,1,622,622
454,0.03,1,100000.0,1e+17,1,6.880145574534029e-05,5,1.0,0,6,0,0,0,0,1,622,622
455,0.04,2,1000000.0,1499457592.0,1,0.013728885024022997,10,1.0,0,10,0,0,1,0,0,629,629
456,0.06,1,150000.0,350000000.0,1,0.0011534432631747332,10,1.0,1,10,0,0,0,0,0,639,639
457,0.06,1,85000.0,350000000.0,1,0.0011534432631747332,10,1.0,1,10,0,0,0,0,0,639,639
458,0.03,1,160000.0,1e+17,0,0.00025005081800137034,10,2.0,1,6,0,1,0,0,0,581,622
459,0.04,1,100000.0,1000000000.0,1,0.00011688230218905644,7,1.0,0,10,0,0,0,0,0,694,694
460,0.018,1,360000.0,2000000000.0,1,0.0009227762958477729,10,1.0,1,10,0,0,0,0,0,712,712
461,0.001,1,200000.0,1e+17,0,0.0,10,1.0,0,6,0,0,0,0,0,622,622
462,0.06,1,200000.0,350000000.0,1,0.0011534432631747332,10,1.0,1,10,0,0,0,0,0,639,639
463,0.06,1,720000.0,100000000.0,0,0.011398015167950906,10,1.0,1,10,0,0,0,0,0,299,620
464,0.03,1,250000.0,1e+17,0,0.00025005081800137034,10,2.0,1,6,0,1,0,0,0,581,622
465,0.03,1,300000000.0,800000000.0,1,1.9449327902809888e-05,10,1.0,1,10,0,0,0,0,0,283,283
466,0.025,1,1250000.0,1e+17,0,0.0,10,1.0,0,5,0,0,0,0,0,664,664
467,0.06,1,100000.0,350000000.0,1,0.0011534432631747332,10,1.0,1,10,0,0,0,0,0,639,639
468,0.07,0,700000.0,200000000.0,0,0.4501838764062261,10,1.0,1,10,0,0,0,0,0,205,635
469,0.04,1,1125000.0,1e+17,0,0.0,10,1.0,1,10,0,0,0,0,0,666,666
470,0.026,1,150000.0,1000000000.0,1,0.00010007619446080989,12,1.0,1,6,0,0,0,0,0,636,636
471,0.0175,1,140000.0,1000000000.0,1,0.00263361983608803,10,1.0,0,3,0,0,0,0,0,622,622
472,0.0,0,300000000.0,1006745147.0,1,0.11348094413120409,2,1.0,0,10,0,0,0,0,0,625,625
473,0.036,1,100000.0,500000000.0,0,0.00014163378104392596,10,1.0,1,6,0,0,0,0,0,588,641
474,0.036,1,100000.0,500000000.0,0,0.00014163378104392596,13,1.0,1,6,0,0,0,0,0,588,641
475,0.09,0,250000.0,500000000.0,0,0.003864808751453258,10,1.0,0,10,0,1,0,0,0,451,638
476,1.4e-06,1,600000.0,1000000000000.0,0,8.100486631485647e-08,10,2.0,1,10,1,0,0,0,0,308,628
477,0.0003,1,300000000.0,50000000000.0,0,6.303144354787963e-06,10,1.0,1,10,0,0,0,0,0,517,636
478,0.152,1,456000.0,99852000.0,0,0.005301207897241356,10,1.0,0,10,0,0,0,0,0,370,685
479,0.05,1,300000000.0,1000000000.0,1,0.0016306837898877006,10,1.0,0,10,1,0,0,0,0,648,648
